State,County,Confirmed,FIPS
Alabama,Autauga,1,1001.0
Alabama,Baldwin,4,1003.0
Alabama,Calhoun,2,1015.0
Alabama,Chambers,5,1017.0
Alabama,Cullman,3,1043.0
Alabama,Elmore,8,1051.0
Alabama,Franklin,1,1059.0
Alabama,Houston,1,1069.0
Alabama,Jackson,2,1071.0
Alabama,Jefferson,91,1073.0
Alabama,Lamar,1,1075.0
Alabama,Lauderdale,3,1077.0
Alabama,Lee,26,1081.0
Alabama,Limestone,4,1083.0
Alabama,Madison,21,1089.0
Alabama,Marion,1,1093.0
Alabama,Mobile,6,1097.0
Alabama,Montgomery,9,1101.0
Alabama,Morgan,2,1103.0
Alabama,Shelby,27,1117.0
Alabama,St. Clair,4,1115.0
Alabama,Talladega,2,1121.0
Alabama,Tallapoosa,2,1123.0
Alabama,Tuscaloosa,10,1125.0
Alabama,Walker,5,1127.0
Alabama,Washington,1,1129.0
Alaska,Anchorage,17,2020.0
Alaska,Fairbanks North Star Borough,9,2090.0
Alaska,Juneau City and Borough,2,2110.0
Alaska,Kenai Peninsula Borough,4,2122.0
Alaska,Ketchikan Gateway Borough,8,2130.0
Alaska,Matanuska-Susitna Borough,2,2170.0
Arizona,Apache,4,4001.0
Arizona,Cochise,1,4003.0
Arizona,Coconino,18,4005.0
Arizona,Graham,2,4009.0
Arizona,Maricopa,199,4013.0
Arizona,Navajo,32,4017.0
Arizona,Pima,42,4019.0
Arizona,Pinal,22,4021.0
Arizona,Santa Cruz,1,4023.0
Arizona,Yavapai,3,4025.0
Arizona,Yuma,2,4027.0
Arkansas,Benton,3,5007.0
Arkansas,Boone,1,5009.0
Arkansas,Bradley,4,5011.0
Arkansas,Clark,6,5019.0
Arkansas,Cleburne,34,5023.0
Arkansas,Cleveland,3,5025.0
Arkansas,Columbia,1,5027.0
Arkansas,Conway,1,5029.0
Arkansas,Craighead,4,5031.0
Arkansas,Crawford,1,5033.0
Arkansas,Crittenden,3,5035.0
Arkansas,Cross,1,5037.0
Arkansas,Desha,2,5041.0
Arkansas,Faulkner,17,5045.0
Arkansas,Garland,11,5051.0
Arkansas,Grant,3,5053.0
Arkansas,Greene,3,5055.0
Arkansas,Hempstead,1,5057.0
Arkansas,Hot Spring,1,5059.0
Arkansas,Independence,3,5063.0
Arkansas,Jefferson,22,5069.0
Arkansas,Lawrence,1,5075.0
Arkansas,Lincoln,3,5079.0
Arkansas,Pike,1,5109.0
Arkansas,Poinsett,3,5111.0
Arkansas,Polk,2,5113.0
Arkansas,Pope,2,5115.0
Arkansas,Pulaski,64,5119.0
Arkansas,Saline,4,5125.0
Arkansas,Searcy,2,5129.0
Arkansas,Sebastian,1,5131.0
Arkansas,Sevier,1,5133.0
Arkansas,Stone,2,5137.0
Arkansas,Union,1,5139.0
Arkansas,Unknown,61,
Arkansas,Van Buren,7,5141.0
Arkansas,Washington,6,5143.0
Arkansas,White,4,5145.0
Arkansas,Woodruff,1,5147.0
California,Alameda,151,6001.0
California,Amador,2,6005.0
California,Butte,4,6007.0
California,Calaveras,2,6009.0
California,Contra Costa,86,6013.0
California,El Dorado,3,6017.0
California,Fresno,18,6019.0
California,Humboldt,5,6023.0
California,Imperial,9,6025.0
California,Kern,14,6029.0
California,Los Angeles,662,6037.0
California,Madera,6,6039.0
California,Marin,53,6041.0
California,Mendocino,2,6045.0
California,Merced,1,6047.0
California,Mono,2,6051.0
California,Monterey,20,6053.0
California,Napa,3,6055.0
California,Nevada,4,6057.0
California,Orange,152,6059.0
California,Placer,26,6061.0
California,Riverside,59,6065.0
California,Sacramento,87,6067.0
California,San Benito,7,6069.0
California,San Bernardino,38,6071.0
California,San Diego,242,6073.0
California,San Francisco,152,6075.0
California,San Joaquin,60,6077.0
California,San Luis Obispo,42,6079.0
California,San Mateo,161,6081.0
California,Santa Barbara,24,6083.0
California,Santa Clara,375,6085.0
California,Santa Cruz,24,6087.0
California,Shasta,3,6089.0
California,Siskiyou,3,6093.0
California,Solano,29,6095.0
California,Sonoma,34,6097.0
California,Stanislaus,11,6099.0
California,Tulare,17,6107.0
California,Unknown,1,
California,Ventura,39,6111.0
California,Yolo,10,6113.0
California,Yuba,3,6115.0
Colorado,Adams,27,8001.0
Colorado,Arapahoe,69,8005.0
Colorado,Boulder,49,8013.0
Colorado,Broomfield,5,8014.0
Colorado,Chaffee,3,8015.0
Colorado,Clear Creek,3,8019.0
Colorado,Crowley,1,8025.0
Colorado,Delta,1,8029.0
Colorado,Denver,176,8031.0
Colorado,Douglas,53,8035.0
Colorado,Eagle,96,8037.0
Colorado,El Paso,106,8041.0
Colorado,Elbert,3,8039.0
Colorado,Fremont,1,8043.0
Colorado,Garfield,10,8045.0
Colorado,Grand,2,8049.0
Colorado,Gunnison,40,8051.0
Colorado,Hinsdale,1,8053.0
Colorado,Huerfano,1,8055.0
Colorado,Jefferson,73,8059.0
Colorado,La Plata,1,8067.0
Colorado,Larimer,43,8069.0
Colorado,Logan,2,8075.0
Colorado,Mesa,5,8077.0
Colorado,Montrose,3,8085.0
Colorado,Morgan,3,8087.0
Colorado,Park,1,8093.0
Colorado,Pitkin,18,8097.0
Colorado,Pueblo,3,8101.0
Colorado,Routt,4,8107.0
Colorado,San Miguel,1,8113.0
Colorado,Summit,10,8117.0
Colorado,Teller,3,8119.0
Colorado,Unknown,18,
Colorado,Weld,76,8123.0
Colorado,Yuma,1,8125.0
Connecticut,Fairfield,384,9001.0
Connecticut,Hartford,88,9003.0
Connecticut,Litchfield,22,9005.0
Connecticut,Middlesex,8,9007.0
Connecticut,New Haven,89,9009.0
Connecticut,New London,6,9011.0
Connecticut,Tolland,19,9013.0
Connecticut,Windham,2,9015.0
Delaware,Kent,10,10001.0
Delaware,New Castle,71,10003.0
Delaware,Sussex,23,10005.0
District of Columbia,District of Columbia,183,11001.0
Florida,Alachua,37,12001.0
Florida,Baker,4,12003.0
Florida,Bay,1,12005.0
Florida,Bradford,1,12007.0
Florida,Brevard,9,12009.0
Florida,Broward,312,12011.0
Florida,Charlotte,3,12015.0
Florida,Citrus,9,12017.0
Florida,Clay,10,12019.0
Florida,Collier,41,12021.0
Florida,Columbia,3,12023.0
Florida,DeSoto,1,12027.0
Florida,Duval,50,12031.0
Florida,Escambia,13,12033.0
Florida,Flagler,4,12035.0
Florida,Hernando,7,12053.0
Florida,Highlands,4,12055.0
Florida,Hillsborough,95,12057.0
Florida,Indian River,12,12061.0
Florida,Jackson,1,12063.0
Florida,Lake,14,12069.0
Florida,Lee,34,12071.0
Florida,Leon,6,12073.0
Florida,Manatee,16,12081.0
Florida,Marion,4,12083.0
Florida,Martin,4,12085.0
Florida,Miami-Dade,365,12086.0
Florida,Monroe,3,12087.0
Florida,Nassau,1,12089.0
Florida,Okaloosa,13,12091.0
Florida,Orange,50,12095.0
Florida,Osceola,26,12097.0
Florida,Palm Beach,102,12099.0
Florida,Pasco,16,12101.0
Florida,Pinellas,45,12103.0
Florida,Polk,13,12105.0
Florida,Putnam,2,12107.0
Florida,Santa Rosa,6,12113.0
